word,A,B,C,D
dependent,expectancy,playfulness,dependent,willingness
depression,sooner,depression,complacency,solace
depth,high,depth,difficulty,aurora
desire,beloved,proposal,desire,anniversary
despair,despair,sorrow,gloom,sadness
desperate,buoyancy,leeway,deep,desperate
detail,biosynthesis,genotype,detail,topic
detective,discovery,combination,detective,finding
determination,player,outset,rank,determination
dignity,dignity,commonwealth,rule,divorce
dimension,leeway,precision,dimension,territorial
disability,patient,disability,diagnosis,generation
disapproval,unpleasantness,antipathy,disapproval,outrage
disaster,outrage,disaster,morale,offering
discipline,appointment,meantime,discipline,quarterly
discontent,displeasure,astonishment,discontent,disposition
discourse,administration,association,clustering,discourse
discovery,revelation,discovery,method,latitude
disease,testing,genome,disease,research
disorder,summary,work,surplus,disorder
disposal,disposal,production,globalization,making
dispute,advocate,dispute,legislation,justification
dissolving,dissolving,tingle,effervescence,craving
distress,sadness,brooding,pessimism,distress
diversity,tolerance,solidarity,gathering,diversity
divine,hereafter,testament,devotion,divine
divinity,divinity,testament,prayer,repentance
divorce,constitutional,will,divorce,judgment
doctor,recuperation,understanding,reform,doctor
domestication,farm,provincial,domestication,heartland
dominance,almighty,tyranny,dominance,dynasty
dominant,dominant,aggregation,greatness,saturation
dominion,dominion,nobility,heir,tyranny
doomed,haunt,departed,killer,doomed
doomsday,trembling,chaos,doomsday,disaster
doubt,uncertainty,doubt,ignorance,problem
downtime,domestic,solace,heating,downtime
drama,producer,drama,tone,glee
dread,dread,limitation,threshold,suspense
dream,sadness,lightness,dream,expectation
driver,driver,continuum,prospect,turning
duality,duality,existence,sensitiveness,expansion
due,resignation,insured,quarterly,due
duration,meantime,times,duration,millisecond
duty,duty,federation,intervention,major
dying,necrophilia,fright,dying,doomed
dynasty,heir,noble,dynasty,reign
earshot,listening,control,earshot,age
east,zen,india,east,buddhism
easter,fondness,springtime,easter,noel
ecology,peace,globalization,ecology,provision
economics,analysis,credit,creditor,economics
economy,accumulation,transfer,creditor,economy
editorial,faction,editorial,detective,yesteryear
education,education,schooldays,specific,learning
effervescence,lightness,osmosis,aeration,effervescence
egomania,aristocracy,reign,chosen,egomania
elite,worthy,modern,elite,prosperity
emotion,despair,feel,emotion,gloom
empire,brave,chosen,empire,wonder
employ,meeting,interview,due,employ
employment,commission,brief,insurer,employment
emulation,emulation,format,nostalgia,nowadays
enchantment,imagination,revelation,enchantment,materialization
ending,magnitude,ending,difficulty,providence
enemy,ruin,doomsday,enemy,armageddon
engineer,engineer,maintenance,fix,construct
engineering,subsystem,standard,engineering,making
enjoyment,enjoyment,chosen,feel,offering
enlightened,buddhism,enlightened,concentration,quiet
enlistment,enlistment,squadron,intervention,professor
enthusiasm,voluntary,enthusiasm,heyday,surprise
envy,exile,fun,envy,killer
equal,equal,legislation,balance,decision
equality,moral,honesty,reform,equality
equilibrium,equilibrium,decision,legislation,justice
escape,escape,opportunity,distress,turnaround
essence,essence,concentration,posture,buddhism
estimate,rate,analysis,number,estimate
eternity,expectation,high,universal,eternity
ethics,judiciary,ethics,advocate,justice
ethnic,india,ethnic,japan,gusto
evaluation,type,evaluation,curriculum,readership
evil,sin,hellhole,evil,mortality
evolution,evolution,gray,fossilization,wise
excellence,competence,excellence,ambition,dedication
exclusion,trepidation,warning,keeping,exclusion
exclusive,privilege,exclusive,autonomy,altitude
excuse,infatuation,excuse,pity,woe
exhaustion,fatigue,productivity,understanding,exhaustion
exhilaration,fair,exuberance,exhilaration,surprise
exile,exile,frequency,nature,approach
expedition,journey,somewhere,retirement,expedition
experience,bid,experience,esteem,insured
experiment,experiment,compound,science,hydrolysis
expert,theory,science,expert,derivation
expiration,timing,times,tomorrow,expiration
extinction,invention,extinction,expert,science
extraction,galvanization,extraction,architect,construct
extreme,dare,extreme,altitude,challenge
exuberance,birthday,exuberance,present,delight
exultation,satisfaction,exultation,excitement,delight
faith,holy,faith,priesthood,brethren
faithful,christian,holiness,repentance,faithful
fame,good,fame,satisfaction,glory
fancy,fancy,romantic,baroque,passover
fashion,fancy,fashion,readiness,throng
fast,armageddon,doomsday,worthy,fast
fatherland,herald,empire,fatherland,lord
fatigue,habit,fatigue,sooner,exhaustion
fear,doomed,evil,mortality,fear
february,christmas,holiday,infatuation,february
fed,finance,trading,fed,inducement
federal,judgment,principles,decree,federal
federation,constitutional,july,federation,civilization
feedback,workweek,accounting,feedback,analysis
fellowship,sociable,humanity,pleasure,fellowship
feminization,girlhood,vanity,sexuality,feminization
fertility,fertility,babyhood,born,dependent
fervor,doomsday,hellhole,peril,fervor
feudalism,lord,reign,chosen,feudalism
fever,fever,patient,exhaustion,treatment
fiction,progression,fiction,science,impulse
fidelity,married,union,fidelity,promise
find,advocate,locale,repair,find
finance,trading,transfer,finance,demand
finding,finding,locale,detective,confusion
finish,superiority,good,outset,finish
finishing,superiority,finishing,morale,focus
fit,range,fit,vigor,fitness
fitness,fitness,fit,health,vigor
fix,fix,precision,repair,engineer
fixation,fixation,consciousness,complex,its
flexibility,vigor,dancer,flexibility,broadways
florescence,natural,warming,florescence,germination
flux,network,flux,subsystem,component
focalization,mercy,science,focalization,imagination
focus,think,bias,differential,focus
foe,revolutionary,foe,disaster,doomsday
fondness,fondness,noel,goodness,darling
fool,amusement,killer,fool,evil
forenoon,solace,tomorrow,forenoon,idle
forgiveness,tearing,forgiveness,pity,compatibility
formation,formation,goddess,repertoire,score
forties,type,inspiration,forties,baroque
fortnight,fortnight,squadron,threat,wartime
fossilization,demise,doomed,haunt,fossilization
foster,past,foster,familiar,dependent
framework,framework,repair,alignment,galvanization
france,deficiency,harmony,masquerade,france
fraternity,fraternity,heyday,sociable,secondary
free,peace,mercy,zenith,free
freedom,freedom,motherland,turning,limit
freeman,independence,enlistment,freeman,motherland
friendliness,acquaintance,closeness,friendliness,listing
friendship,friendship,romance,loathing,romantic
fright,fright,demise,suspense,halloween
frontier,domestication,settlement,yield,frontier
fulfillment,fulfillment,campus,jersey,excitement
fun,exuberance,excitement,fun,gladness
funny,funny,disposition,unpleasantness,gladness
furies,demise,despair,furies,hell
fury,malice,private,cult,fury
future,subsystem,multiprocessing,future,clustering
gender,pity,intimacy,affection,gender
genealogy,science,expert,genealogy,invention
general,chosen,aristocracy,general,foe
generation,retrospective,playfulness,generation,voluntary
genius,seeking,genius,ability,reasoning
genome,microevolution,genome,experiment,synthesis
genotype,genome,being,metabolism,genotype
germination,germination,starting,sensitive,version
ghost,possession,fear,moratorium,ghost
girlhood,infatuation,euphoria,lightness,girlhood
give,take,selfish,give,happy
gladness,gladness,jubilee,birthday,delight
glee,sung,performance,glee,tone
globalization,administration,management,analysis,globalization
gloom,sadness,brooding,gloom,starting
glory,perfection,rank,glory,satisfaction
goal,outset,goal,superiority,dedication
god,god,devotion,christian,veneration
goodness,goodness,unity,euphoria,budding
governance,behalf,governance,trusteeship,lawyer
government,caucus,government,objection,legislature
grace,romance,intimate,interlude,grace
graduate,professor,graduate,sermon,jurisdiction
grammar,plan,understanding,grammar,straight
gratitude,voluntary,birthday,gratitude,present
greatness,exuberance,burst,morale,greatness
grief,grief,necrophilia,fright,departed
grievance,grievance,honesty,decision,lawyer
growing,growing,beauty,adaptation,spoiling
growth,influx,peace,growth,rate
guarantee,inducement,guarantee,accumulation,credit
guess,guess,inquiry,mind,think
guidance,pinpoint,distance,guidance,possibility
guilt,killer,glance,withdrawal,guilt
gusto,abundance,gathering,range,gusto
habit,habit,daily,complacency,moment
halftime,pace,bout,halftime,determination
halloween,easter,demise,fright,halloween
happiness,voluntary,dancer,bohemia,happiness
harm,dread,doomsday,instability,harm
harmony,harmony,unfolding,expansion,inspiration
haste,way,association,haste,complex
hate,sounding,prominence,acting,hate
hatred,fervor,hatred,wrath,devil
haunt,doomed,house,haunt,mortality
healing,hospitalization,doctor,healing,operative
health,morning,doctor,health,vigor
hearing,idle,performance,thinking,hearing
heartland,provincial,heartland,farm,commune
heating,solace,downtime,heating,fondness
heaven,heaven,soul,salvation,morality
heavy,labor,framework,heavy,repair
heir,chosen,lord,reign,heir
hell,killer,wrath,prayer,hell
hellhole,evil,almighty,fervor,hellhole
help,why,desperate,assessment,help
hereafter,annunciation,hereafter,ascension,divine
heredity,heredity,lineage,relative,member
heritage,genealogy,belonging,past,heritage
hero,private,dissimilation,horror,hero
hierarchy,roman,africa,antiquity,hierarchy
hindu,worship,hindu,spiritual,zen
history,history,genius,sanctum,prayer
holiday,midwinter,abundance,december,holiday
holidays,happiness,vacation,holidays,tired
holiness,veneration,holiness,repentance,christianity
holy,christian,holy,priesthood,devotion
hometown,living,hometown,play,baroque
honesty,grievance,judiciary,honesty,justice
honor,egomania,supremacy,chosen,honor
hope,hope,thing,springtime,comprehensive
hopelessness,passion,unpleasantness,hopelessness,antipathy
horror,killer,suspense,malice,horror
hospitalization,doctor,hospitalization,recuperation,ill
hostile,providence,hostile,haunt,suspense
hostility,hostility,conflict,war,aggression
hour,locale,hour,nanosecond,latitude
humanity,chill,solstice,humanity,fellowship
humor,stupor,acting,humor,sung
hunger,absorption,hunger,clean,gathering
hurry,duration,schedule,hurry,communication
hygiene,routine,hygiene,handling,inactivation
idea,intellectualization,plan,thursday,idea
ideology,harassment,ideology,feminist,suffrage
idle,curriculum,intellectual,thursday,idle
ignition,hatred,ignition,circulation,causing
ignorance,confusion,ignorance,inquiry,uncertainty
ill,ill,hospitalization,recuperation,doctor
illumination,illumination,mind,answer,presence
imagination,joy,enchantment,expansion,imagination
immortal,wonder,ascension,utmost,immortal
immune,microevolution,immune,implantation,aeration
immunity,experiment,theory,testing,immunity
implantation,permeation,catalysis,detail,implantation
implementation,selection,association,implementation,subset
incentive,accumulation,incentive,creditor,inducement
inclusion,liberal,solidarity,inclusion,voluntary
increment,institute,add,mathematics,increment
incumbency,legislature,incumbency,suffrage,law
independence,civilization,independence,squadron,motherland
independent,independent,university,professionalization,insight
india,zen,reverence,buddhism,india
indication,haste,indication,pause,going
indifference,indifference,guess,phrase,disposition
indignation,indignation,disaffection,wartime,crisis
inducement,asset,inducement,credit,creditor
industry,globalization,manpower,industry,architect
infancy,room,morning,infancy,caretaker
infatuation,desire,infatuation,affection,love
inflation,accumulation,transfer,finance,inflation
inflow,extent,province,inflow,confluence
influx,influx,enterprise,growth,organization
information,information,quarterly,subject,brief
initial,constitution,dissolution,initial,significance
initiate,supernatural,cult,initiate,worship
initiative,initiative,apex,escape,isolation
innocence,expansion,budding,innocence,sensitive
innocent,innocent,dream,expectancy,peace
inquiry,guess,confusion,mind,inquiry
inquisition,almighty,doctrine,inquisition,wrath
insight,consortium,situation,management,insight
inspection,assessment,inspection,steady,alignment
instability,armageddon,instability,fault,intensity
instant,instant,habit,afternoons,daily
institute,curriculum,academia,lesson,institute
institution,administration,professionalization,institution,management
instruction,professionalization,acquaintance,administration,instruction
instrumentality,science,repair,instrumentality,lifespan
insured,insured,insurer,credit,brief
integrity,purgatory,conscience,moral,integrity
intellectual,idle,basic,reference,intellectual
intellectualization,reference,idle,intellectualization,curriculum
intelligence,think,intelligence,consciousness,know
intensity,intensity,perception,armageddon,wrath
interaction,courtesy,afternoons,encounter,interaction
interest,rate,interest,transfer,progress
interference,neutral,large,medium,interference
interlude,theme,octave,tone,interlude
international,international,hour,territorial,capitalism
interpretation,trade,tone,populace,interpretation
interval,interval,inspiration,talent,chapter
intervention,intervention,ill,doctor,specialist
interview,work,commission,due,interview
intimacy,friend,sensitiveness,intimacy,beloved
intimate,intimate,purity,romantic,grace
invention,expert,repair,invention,type
investigation,suspect,investigation,realism,invention
irregular,longing,inspiration,salient,irregular
islam,worship,believing,islam,piety
isolation,providence,isolation,ultimate,distress
january,november,december,warming,january
japan,quiet,spiritual,japan,ethnic
jealousy,sorrow,exile,jealousy,peril
job,job,administration,corporation,business
journey,journey,maturity,departure,survival
joy,springtime,unpleasantness,imagination,joy
jubilee,birthday,jubilee,delight,present
judge,behalf,trusteeship,judgment,judge
judgment,trusteeship,judgment,decree,trial
july,surprise,midsummer,july,federation
jurisdiction,objection,jurisdiction,protestant,principles
justice,justice,honesty,decision,principles
justification,advocate,dispute,judiciary,justification
keeping,exclusion,punishment,opportunity,keeping
killer,horror,plague,killer,suspense
kind,impression,peace,acceptance,kind
kindness,kindness,food,friendliness,sociable
kindred,kindred,merriment,society,pleasure
kleptomania,anguish,debt,kleptomania,subordinate
know,thought,know,intelligence,reasoning
knowing,thought,understand,knowing,general
latest,topic,multiprocessing,aggravation,latest
law,judiciary,oath,principles,law
lawmen,behalf,legislation,tribunal,lawmen
lawyer,trusteeship,legislation,dispute,lawyer
learning,teacher,learning,substitute,university
leaving,abandon,leaving,timid,longing
legend,sir,aristocracy,legend,power
legislation,dispute,legislation,advocate,trusteeship
legislature,decree,legislature,incumbency,law
leisure,downtime,enlightened,leisure,inactivation
lent,lent,repentance,penance,christianity
lesson,academia,remark,lesson,institute
level,standard,discovery,precision,level
liability,advocate,liability,legislation,justification
liberal,rally,liberal,inclusion,minority
liberty,conservative,motherland,liberty,metropolitan
lie,life,solace,lie,comfort
life,genotype,imagination,life,existence
lifespan,temporal,duration,lifespan,times
lifetime,century,year,surprise,lifetime
limitation,opportunity,limitation,threshold,combination
lineage,lineage,belonging,foster,heredity
listening,drama,listening,theme,performance
living,comfort,living,chef,hometown
loathing,springtime,gloom,teaching,loathing
locale,latitude,leeway,territorial,locale
longing,longing,sooner,dawning,solace
lookup,lookup,curriculum,reference,lawyer
lord,reign,heir,lord,chosen
lost,finding,lost,leeway,longitude
love,affair,infatuation,darling,love
lovely,lovely,view,alleviation,starting
low,secret,guilt,low,embarrassment
loyalty,fondness,attribute,loyalty,adoration
luck,probability,likelihood,circumstances,luck
lull,lull,tonight,bedtime,romance
lust,grace,lust,purity,intimacy
luxury,living,luxury,prosperity,baroque
madness,madness,malice,silly,evil
magic,fright,imagination,possession,magic
maintenance,construct,maintenance,precision,engineer
majesty,lord,majesty,nobility,monarchy
major,major,subject,academia,institute
majority,majority,feedback,economics,workweek
malice,horror,fright,demise,malice
management,management,professionalization,proceedings,enterprise
manifest,resignation,manifest,issuer,accounting
manpower,industry,manpower,production,engineer
marketing,marketing,transient,public,civilization
married,fidelity,proposal,married,desire
masquerade,masquerade,france,harmony,lust
master,plan,nobility,master,power
mathematics,mathematics,add,differential,derivation
maturity,prospect,maturity,survival,ultimate
meantime,meantime,times,anticipation,duration
measurement,synergism,standard,instrumentality,measurement
medical,operative,specialty,medical,assist
meeting,proceedings,meeting,situation,presentation
melancholy,despair,defeated,grace,melancholy
meltdown,pyromania,meltdown,experiment,severity
member,member,academic,reference,intellectualization
membership,brief,membership,insurer,identification
memory,think,topic,know,memory
mention,sending,mention,nowadays,clustering
mercy,zenith,mercy,annunciation,sensitive
merriment,friendly,insight,merriment,born
messiah,faith,veneration,morality,messiah
mexico,wonder,india,mexico,utmost
midsummer,pleasure,excitement,playfulness,midsummer
midwinter,noel,midwinter,solace,holiday
millennia,thought,fiction,millennia,science
mind,guess,thought,mind,revelation
ministry,christian,devotion,ministry,priesthood
minority,minority,suffrage,inclusion,liberal
minute,temporal,times,precision,minute
mirth,birthday,present,exuberance,mirth
misery,failure,complaint,misery,cynicism
miss,tearing,circulation,miss,hopelessness
mistake,mistake,academic,constant,logic
mobility,alert,generation,mobility,hospitalization
modern,downtime,metropolitan,domestic,modern
moment,times,moment,temporal,anticipation
momentum,july,momentum,exultation,burst
monarchy,chosen,times,god,monarchy
monday,thursday,duration,times,monday
monopoly,eldest,monopoly,baroque,goddess
mood,hopelessness,mood,disposition,presence
moral,trusteeship,moral,honesty,justification
morale,morale,outset,superiority,ambition
morality,morality,offer,bliss,chosen
morning,morning,tomorrow,solace,forenoon
mortality,mortality,haunt,plague,evil
mourning,mourning,understand,accept,bliss
multiprocessing,array,association,multiprocessing,tech
muslim,covenant,christian,faithful,muslim
mystery,expert,possibility,invention,mystery
myth,heaven,defense,myth,empire
mythology,chosen,empire,mythology,roman
narrative,survival,dissolution,necessity,narrative
national,republic,national,democracy,government
nationalism,soviet,nationalism,sovereignty,conservative
nationalist,dictatorship,nationalist,socialist,commonwealth
nationality,vacation,transient,nationality,territorial
native,spiritual,india,quiet,native
natural,budding,saturation,natural,extent
nature,confluence,outskirts,nature,starting
neglect,condemn,degeneration,severity,neglect
neolithic,native,neolithic,survival,backwoods
network,technology,topic,complex,network
news,news,performance,workweek,thursday
nobility,technology,principality,nobility,native
noble,principality,noble,chosen,native
noel,noel,midwinter,thanksgiving,fondness
north,gloom,northland,north,solitary
northern,heating,fondness,warming,northern
northern,warming,fondness,heating,northern
northland,solitary,wildness,northland,adaption
nostalgia,sooner,nostalgia,daily,afternoons
notion,know,think,notion,commission
november,sabbath,gathering,november,heating
number,number,thursday,assessment,derivation
nutrition,training,discipline,vitality,nutrition
oath,oath,conviction,law,tribunal
objection,behalf,objection,jurisdiction,judgment
observation,observation,science,seeking,finding
octave,interlude,unfolding,octave,tone
october,boyhood,fright,october,possession
odds,probable,contingent,odds,chance
offer,deal,offer,discussion,alliance
offering,surprise,enjoyment,offering,appreciation
official,promotion,possess,experience,official
operation,operation,specialist,specialty,doctor
opinion,opinion,debtor,stress,withdrawal
opportunity,discovery,opportunity,combination,limitation
