Goal,Rep_1,Rep_2,Rep_3,Rep_4,Rep_5,Rep_6,Rep_7
blank,white space,nothingness,void,absence,emptiness,,
bliss,Smiling face,Relaxing environment,Happiness,Peaceful nature scene,Calm Mindset,,
bohemia,Bohemian dress,Flower crown,Beaded necklace,Dreamcatcher,Incense,,
bold,Lion,Warrior,Strongman,Bull,Sword,,
bore,Sleepy face emoji,Snoring sound effect,Clock showing late hours,Boring book cover,,,
botany,Plant cell structure diagram,Herbarium specimen collection box,Botanical illustration,Greenhouse,Laboratory,,
bourgeois,Luxury cars,expensive watches,big houses,private jets,fancy clothes,,
brave,Lion,sword,shield,soldier,firefighter,,
brazil,Christ Redeemer Statue,Carnival,Soccer Ball,Amazon Rainforest,Sugarloaf Mountain,,
brethren,Bible,Cross,Holy book,Church building,congregation,,
buddhism,Buddha Statue,Lotus flower,Bodhi Tree leaf,Incense Sticks,Prayer wheel,,
budding,Flowers,Spring season,Trees,Garden,Plants,,
burden,Weight,heavy backpack,chain link,yoke,exhausted person,,
bureaucracy,Red Tape,Stamp,Paperwork,Clock,File Cabinet,,
business,Suits,Office Space,Briefcase,Computers,Presentation Slides,Prayer hands,
bygone,Antiques,Vintage car,Old photograph,Abandoned building,Ruins,,
calcification,calcium deposit,bone fracture,mineralization process,x-ray showing calcium buildup,joint pain,,
calling,Phone,Telephone booth,Ringing bell sound,Calling card,Answering machine,,
calm,lake,beach sunset,hammock,clouds,mountain,hourglass,
capability,Power icon,gear mechanism,energy symbol,tool box,brain shape,,
capitalism,Dollar bill,Wall Street Bull statue,factory assembly line,wealthy businessman,stock market chart,,
capitalist,Suit and tie,briefcase,money,chart showing stock prices rising,skyscraper office building,,
captive,Prisoner’s uniform,shackles,prison cell bars,court room gavel,criminal record book,,
carbonization,coal,charcoal,burnt wood,blackened metal,soot,,
care,Heart icon,Hand holding heart shape,Medical equipment,Nurse hat,Red Cross symbol,,
career,Business suit,briefcase,laptop computer,business meeting room table and chairs,office building exterior,,
caring,Heart,smiley face,hug,helping hand gesture,holding hands,,
cartel,Money,Drugs,Illegal activities,Weapons,Organization structure chart,,
catholic,Rosary beads,Crucifix,priest,Stained glass window from church,Bible,,
century,Clock,Calendar,Yearbook,Historical document,Photograph from another era,,
challenge,Mountain Climbing,Racing Car,Jigsaw Puzzle Pieces,Boxing Glove,Chessboard,,
chance,dice,roulette wheel,coin toss,lottery ticket,slot machine,,
chaos,Explosion,Fire,Earthquake,Tornado,Flood,,
chapter,Book,writing,novel,story,pages,,
character,hero,villain,sidekick,mentor,love interest,,
charity,Donation box,Giving hands,Volunteers helping others,Fundraising event,Donor receipt,,
charter,Boat,Ocean waves,Anchor,Sun setting over water,Lighthouse,,
chef,Chef hat,Knife set,Pots and pans,Food platter,Apron,,
childhood,toys,sandbox,schoolyard,playground slide,ice cream cone,,
china,Great Wall of China,Rice field,Tea set,Pagoda,Dragon dance,,
chosen,Crown,Sword,Throne,Map showing borders,Statue of Leader,,
christian,cross necklace,Bible,church building,praying hands,priest robe,,
christianity,Cross,Bible,Jesus figure,church building,rosary beads,,
christmas,Santa Claus,Christmas tree,Presents under tree,Snowman,Reindeer,,
circulation,blood vessels,heart,oxygenated blood,veins,arteries,,
circumstances,People shaking hands,business meeting,conference room,agreement contract,negotiations,,
citizenry,Voting booth,Flag,National Anthem,Constitution,Social Security Card,,
civilization,Skyscrapers,Statue Of Liberty,Roads & Bridges,Metro system,Modern Lifestyle,,
claim,Insurance form,Accident scene,Doctor visit note,X-ray report,Hospital bill statement,,
clan,Family tree,Coat of arms,Crest,Ancestor portraits,Castle,,
clarity,water droplet,mirror reflection,eye,sunlight shining through clouds,white blank sheet of paper,,
classical,Beethoven,Mozart,Chopin,Symphony Orchestra,Music Sheet,Saint statue,
classified,Secret documents,CIA building,encrypted message,Spy gadgets,surveillance camera,,
clean,Water,Soap,Sponge,Brush,Vacuum cleaner,,
coalition,People joining hands,Union flag,Alliance logo,handshake agreement,Treaty document,,
colonial,tea cup,musket rifle,sailing ship,redcoat uniform,British flag,,
combination,Lock,Key,Password,Encryption algorithm,Biometric scanner,,
comfort,pillow,blanket,soft bed,fireplace,cozy room,,
coming,door opening,footsteps approaching,vehicle engine sound,clock ticking faster,someone saying “I’m here,,
commentary,Speech bubbles,Newspaper article,Television show interview,Podium,Microphone,CEO,
commerce,Shopping bag,Money,Banknote,Market stalls,Payment terminal,,General
commercial,product advertisement,sales promotion,customer service representative,price tag,shopping cart,,
commission,Meeting room table,Contracts,Briefcase,Pen and paper,Legal documents,,
commitment,Ring,Vows,Promise,Contract,Signature,,
commonwealth,Parliament building,Map showing member countries,Commonwealth flag,Leaders shaking hands at summit,Sports event,,
communication,Telephone,Email,Letter,Meeting room,Megaphone,,
comparative,Bar chart,Pie Chart,Line Graph,Venn Diagram,Infographic,,
compassion,Kindness,empathy,caring for others,helping hand,comforting gesture,,
compatibility,Heart shape,Puzzle pieces fitting together,Two hands shaking,Venn diagram intersection,Checkmarks next,,
complacency,Slippers,Newspaper,TV remote control,Comfortable couch,Mug of coffee,,
complaint,Sad face emoticon,Angry customer service rep,Broken product,Refund form,Frustr,,
complex,Numbers,equations,variables,symbols,imaginary plane,,
composition,Painting,photograph,Sculpture,Music sheet,Dance moves,,
compound,Molecules,atoms,chemical structure,lab equipment,periodic table,,
conceit,Mirror,Mask,Compliment,Beauty Product,Makeup Artist,,
concentration,Focus icon,Mind map,Zen garden,Person sitting alone thinking,Yoga pose,,
confederacy,Confederate Flag,Robert E Lee Statue,Jefferson Davis Portrait,Civil War battlefield map,Southern State seal,,
confederate,Flag,Cotton,Plantation,Slave Trade,Antebellum,,
confidence,Smiling face,raised eyebrows,thumbs up gesture,arms crossed posture,confident body language,,
conflict,War,Guns,Fist fight,Explosion,Protest,,
confluence,River junction,two paths joining into one,merging ideas,integration symbol,intersection of lines,,
confusion,Question mark,Maze,Interrogative face,Confused facial expression,Crossed wires,,
conscience,Heart,Mirror,Balance scales,Angel and devil on shoulders,Judge gavel,,
consciousness,Eye symbol,Mind map,Human brain model,Brain activity graph,Thought bubble icon,,
consent,Signature on paper,thumbprint,handshake,verbal agreement,nodding head,,
conservative,Flag pin,American flag,Military personnel saluting,Statue of Liberty,Bald Eagle,,
consideration,money,paperclip,handshake,signature,thumbs up,,
consolation,hug,flowers,candle,sympathy card,cake,,
constitution,Scroll,Parchment,Signature,Seal,Quill Pen,star,
constitutional,Constitution document,court building,judges robes,gavel,flag,,
constraint,Rope,handcuff,barbed wire fence,locked door,prison cell,,
construct,Blueprint,Hammer,Saw,Crane,Building materials,,
consumption,Food,Water bottles,Credit card,Electricity bill,Waste disposal bin,,
contamination,Biohazard symbol,bacteria under microscope,toxic waste sign,spilled chemical containers,masked person handling,,
continuity,River,Road,Time arrow,Circle,Spiral staircase,,
continuum,Arrow,Straight line,Wave pattern,Spiral,Infinity symbol,epistemology,
convenience,ATM machine,self check out,fast food restaurant,online shopping,automated systems,,
convention,Conference Hall,Name Tags,Lectern,Microphone,Audience members seated in chairs,,
conviction,Judge gavel,Prison Bars,Lawyer arguing case,Witness stand,Jury Box,,
cooling,Refrigerator,Ice cube,Fan,Air conditioner,Open window,,
coolness,Sunglasses,leather jacket,motorcycle,shades,tattoos,,
cooperation,Handshake,Group discussion,Teamwork,Collaboration,Unity,,
corporation,Office Building,Stock Market Graph,Logo,Company Headquarters,Conference Room Table,,
correspondence,Letter envelope,Post Office,Mailbox,Pen,Stamp collection,,
corroding,Metal flakes falling off,Chemical reaction bubbles,Oxidation color changes,Surface rusting,Damage,,
corruption,bribe,black money,politicians,red tape,injustice,,
council,People sitting around table,Chairs,papers spread out,Microphone stand,Speaker lectern,,
counsel,Lawyer office,legal documents,Courtroom,Briefcase,Judge gavel,,
courage,Lion,soldier,firefighter,superhero,fist raised in protest,,
covenant,Bible,Contract,Seal,Signature,Parchment scroll,,
covert,mask,shadows,hiding place,underground room,spy camera,,
craving,Chocolate bar,ice cream cone,Burger,French fries,Pizza slice,,
crazy,mad scientist,straight jacket,asylum,laughing face,skull,tree,
creator,God,nature,human beings,machine intelligence,evolution process,,
credit,dollar bills,banknote,debt,loan application form,interest rate table,,
creditor,Debt document,money stack,Bank branch office,Interest rate formula,Credit score report,,
cretaceous,Dinosaurs,Pterodactyls,ferns,volcanoes,ocean,,
crime,Prison cell bars,Knife,Blood stains,Evidence bag,Courtroom scene,,
criminal,Prison cell,handcuffed hands,judge gavel,Wanted poster,police mugshot,,
crisis,fire,explosion,sinking ship,broken bridge,earthquake,,
criticism,Red pen,Commenting symbol,Cross mark,Correction symbols,Delete button,,
culture,Statue,Museum,Flag,Traditional dress,language symbol,,
curfew,Clock,Night sky,House with lights off,Alarm clock,Closed shop signs,,
curing,medicine bottles,thermometer,bandages,surgery instruments,hospital bed,,
curiosity,cat,telescope,question mark,laboratory equipment,open door,,
curriculum,textbook,syllabus,assignment sheet,exam schedule,course outline,,
custody,Key,door lock,padlock,metal detector,prison cell bars,,
custom,Custom shirt,Custom dress,Custom shoes,Custom furniture,Custom software,,
cynicism,Frown Face Emoji,Dark Clouds,Sadness icon,Black color,Broken Heart Emoji,,
daily,clock face,sunrise/sunset,newspaper/magazine,calendar page,shopping basket,,
damned,Hellfire,devil horns,pitchfork,crossroads,chains,,
danger,Warning Sign,Fire,Skull,Snakes,Rattlesnake sound,,
dare,Risky situation,Fear,Excitement,Adventure,Challenge,,
darling,roses,ring,heart-shaped box of chocolates,teddy bear,diamond necklace,,
dawning,Sun rays,Birds singing,Sunrise over horizon,Morning dew,Alarm clock ringing,,
deadline,Clock,Red line,alarm clock,calendar,time bomb,,
deal,Contract signed,Handshake,Exchange of goods,Currency,Transaction Completed,,
dealing,Cards,Poker chips,dealer shuffling deck,Casino background,Las Vegas skyline,,
debate,Speaker,microphone,audience,podium,timer,,
debt,Money,calculator,credit card statement,bank vault,interest rate chart,,
december,Christmas tree,Santa Claus,Snowman,fireplace,winter landscape,,
decision,Scales of Justice,Fork in road,Brain,Coin toss,Voting ballot,,
decree,Law book,Judge gavel,Courtroom sketch,Document paper,Signature pen,,
dedication,Time,Persistence,Sacrifice,Focused Mindset,Teamwork,,
defeated,Losing,Failure,Defeatist attitude,Loss,Surrender,tools,
defense,Shield,fortress walls,moat,military base,missile launch pad,,stage lights
definition,Textbook,dictionary,word cloud,magnifying glass over text,highlighted sentence in book,,
defoliation,Leaves falling from trees,bare branches,browned grasslands,dead plants,withered crops,,
degeneration,Deterioration,Worsening,Decline,Loss,Decay,,
degree,Diploma,Graduation ceremony,Cap and Gown,University building,Academic gown,,
delay,clock ticking slowly,traffic jam,queue at ticket counter,airplane taking off late,appointment postponed,,
delegation,Flag,Speeches,Conference table,Microphone,handshake,,
deletion,Garbage Can,Eraser,Red X,Delete Key,Shredder Machine,,
delight,Smile,Balloons,Cake,Party hats,confetti,,
demand,Money,Consumer goods,Market trends,Price changes,Supply chain,,
demise,Coffin,Funeral flower arrangement,Grim Reaper,Candlelight vigil,Tombstone,,
democracy,voting booth,ballot box,political party logo,government building,constitution document,,
denial,No entry sign,crossed out box,Stop hand gesture,Refusal letter,Closed door,,
departed,tombstone,funeral flowers,graveyard,coffin,urn,,
departure,Plane taking off,Road leading out of town,Train leaving station,People waving goodbye,Suitcase,,
dependence,Chains,rope tied around hands,shackles,needle and syringe,prisoner behind bars,,
dependent,Child,Woman,Man,Family member,Caretaker,,
depression,Sad face,Rainy sky,Empty room,Bed,Clock showing late hour,,
depth,Ocean,Cave,Mineshaft,Submarine,Deep Space,,
desire,Heart,Diamond ring,Wedding dress,Red rose bouquet,Engagement ring box,,
despair,Tears,Sadness,Loneliness,Darkness,Isolation,,
desperate,crying face,broken heart,sinking ship,drowning person,dark clouds,,
detail,microscope,magnifying glass,close-up photo,zoomed in camera view,fine print,,
detective,Notebook,magnifying glass,Clues,fingerprints,Sherlock Holmes hat,,
determination,Goalpost,medal,finish line tape,stopwatch,runner,,
dignity,Respected person,handshake between two people,award ceremony,Statue of Justice,Flag raising,,
dimension,ruler,graph paper,map,protractor,tape measure,,
disability,Wheelchair,Guide dog,White cane,Sign language interpreter,Hearing aid,,
disapproval,Frowning Face,Dislike Button,Angry Emoji,Downward Thumbs Up Symbol,Red Cross,,
disaster,Firefighters putting out fire,Earthquake destroyed city,Flooded streets,Hurricane damage,War Zone,,
discipline,Timetable,Clock,List,Diary,Reward System,,
discontent,Frown Face Emoji,Angry Person Picture,Sad Face Drawing,Broken Heart Image,Tear Stained,,
discourse,Speech bubble,conversation icon,debate scene,dialogue window,public forum illustration,,
discovery,lightbulb,magnifying glass,telescope,microscope,compass,,
disease,Virus,Bacteria,Blood sample,Sick person,Medical mask,,
disorder,Messy room,Cluttered desk,Tangled wires,Overcrowded street scene,L,,
disposal,Rubbish bin,Recycling logo,Landfill site,Incinerator plant,Plastic bottles piling,,
dispute,Law book,scales of justice,courtroom,two arguing figures,gavel,,
dissolving,Salt,water,coffee granules,sugar cubes,ice cubes,,
distress,Sad face,tears,crying person,lonely house,dark clouds,,
diversity,Rainbow Flag,People from different backgrounds talking together,globe,variety of food items,puzzle pieces fitting,,
divine,Cross,Angel,Halo,Starry night sky,Church building,,
divinity,Cross,Church building,Angel wings,Prayer beads,Bible,,
divorce,Papers,judge,lawyer,courtroom,crying child,,
doctor,Stethoscope,white coat,scrubs,medical equipment,Hospital bed,,
domestication,Pet dog,cat,farm animal,horse,taming,,
dominance,Lion,King,President,Throne,Crown,,
dominant,Lion,King,Leader,Boss,General,,
dominion,Crown,scepter,map of territory under control,throne,symbol of monarchy,,
doomed,Skull,crossbones,gravestone,Grim reaper,broken glass,,
doomsday,Nuclear explosion,Tornado,Earthquake,Volcano eruption,Asteroid impact,,
doubt,Uncertainty symbol,Question mark,Shadowy figure,Confused face,Rubik's cube uns,,
downtime,Hammock,couch,beach chair,cup of tea,bookshelf,,
drama,Stage curtains,Spotlight,Theater seats,Microphone,Script pages,,
dread,anxiety,fear,stress,worry,apprehension,,
dream,sleep,pillow,cloud,moon,stars,,
driver,steering wheel,car key,gas pedal,road signs,map,,
duality,Yin yang symbol,Male-female couple,Light-dark colors,Sun-moon combo,Good-,,
due,Deadline,Clock,Calendar,Time Limit,Contract,,
duration,clock,calendar,hourglass,timeline,stopwatch,,
duty,Military uniform,military boots,salute,flag,oath,,
dying,Coffin,Cemetery,Tombstone,Funeral flowers,Black clothing,,
dynasty,Emperor,Crown,Throne room,Palace,Castle,,
earshot,Hearing Aid,Microphone,Loudspeaker,Sound waves,Ear,gavel,
east,Sunrise,Sunbeam,Ocean,East Asian Culture elements like pagoda,dragon,,
easter,Eggs,Bunnies,Chocolate,Flowers,Crosses,,
ecology,Recycling symbol,Trees,Birds,Grassland,Water droplet,,
economics,Pie chart,Dollar bills,Supply demand curve,Economic model equation,Stock market graph,,
economy,Money,graph showing growth,stock market ticker,currency exchange rates,factory,,
editorial,Typewriter,Newspaper article,Magazine cover,Editor’s desk,Pen and paper,,
education,Blackboard,school bag,Pencil,Globe,Library,,
effervescence,Bubbles,Fizzing sound,Carbonated drink,Champagne bottle opening,Foam,,
egomania,Mirror,Crown,Trophy,Statue,Throne,,
elite,Luxury cars,Mansions,Private jet,Expensive watches,Champagne,,
emotion,face expressions,color palette,body language,music notes,weather symbols,,
empire,Rome Colosseum,Roman Soldier Armor,Julius Caesar Portrait,Roman Legion Shield,Aqueduct,,
employ,Job Interview,Resume,Contract,Salary,Workstation,,
employment,Resume,Job Interview,Businessman shaking hands,office building,briefcase,,
emulation,Console controller,Retro video game system,Cartridge,Joystick,TV screen,,
enchantment,Magic wand,Spellbook,Fairy dust,Crystal ball,Unicorn,,
ending,Full stop punctuation mark,sunset,person waving goodbye,closed door,final chapter,,
enemy,Bombs falling from plane,soldiers fighting,flags waving,fire burning,destruction,,
engineer,Tools,construction site,mathematical equations,CAD drawing,blueprints,,
engineering,gears,tools,circuit boards,drawings,calculations,,
enjoyment,laughing faces,smiley emojis,fireworks display,balloons floating up into sky,hands clapping together,,
enlightened,Buddha statue,Zen garden,meditation pose,chakra symbol,Om sign,,
enlistment,Army uniform,Camouflage gear,Boot camp exercises,Military flag,Enlistment papers,,
enthusiasm,Smiling face,Thumbs up sign,Jumping person,Applause,Party decorations,,
envy,Green eye color,broken heart,two-faced mask,snake,rotten apple,non-existence,
equal,Math symbol,Balance scales,Two identical items side by side,Mirror reflection,Double helix DNA,,
equality,Balance scales,Equal sign (=),Rainbow flag,Hands holding hands,Fist raised,memes,
equilibrium,Balance beam,Pendulum,Equation with equal signs,Weighted scale,Level water surface,,
escape,Running person silhouette,Bird flying away,Open door,Locked door behind,Escape rope ladder hanging from,,
essence,Vial,Perfume bottle,Flower petals,Aromatherapy diffuser,Candle flame,,
estimate,Calculator,Graph showing data points,formula written on paper,bar chart,dollar bills,,
eternity,infinity symbol,timelessness,universe,black hole,spiral galaxy,,
ethics,Scales of Justice,Handshake Agreement,Golden Rule text,Good Samaritan story,Compassionate,,
ethnic,Traditional clothing,traditional food,cultural artifacts,language,customs,,
evaluation,Test papers,Exam room,Grading scale,Red pen markings,Report cards,,
evil,Skull,Devil Horns,Fire flames,Scythe,Dark clouds,,
evolution,Darwin,finch,tree,fossil,human skeleton,,
excellence,trophy,certificate,ribbon,medal,applause,,
exclusion,Lock,Closed door,Red “X”,Social media unfollowing icon,Group photo without person,,
exclusive,Luxury Car,Private Jet,Rolex Watch,Red Carpet,VIP Lounge,,
excuse,Sorry!,Apology Letter,Regretful Face,Handshake,Make-up Gift Box,,
exhaustion,Sleepy face,drooping eyes,yawn,empty coffee cup,collapsed figure,,
exhilaration,Jumping for joy,arms up,smile,rollercoaster,fireworks,,
exile,Prisoner,Island,Banishment,Abandonment,Outcast,,
expedition,Tent,compass,backpack,Mountain peak,sleeping bag,,
experience,Job,certificate,diploma,skills,knowledge,,
experiment,test tubes,Bunsen burner,Petri dish,microscope,scientist working at lab bench,,
expert,Glasses,Lab coat,Scientific equipment,Whiteboard full of equations,Bookshelf with technical books,,
expiration,Milk carton,Calendar page,Clock face,Trash bin,Time bomb,,
extinction,Dinosaur skeleton,Endangered species list,Smokestacks polluting environment,Empty nest,Forest,,
extraction,Oil Rig,Gold mine,Coal Mine,Water well,Hydraulic fracturing equipment,,
extreme,Cliff jumping,Bungee jumping,Free solo climbing,Wingsuit flying,Extreme sports gear,,
exuberance,fireworks,balloons,confetti,party poppers,sparklers,,
exultation,Confetti,Fireworks display,trophy,champagne bottle popping,smiling faces cheering,,
faith,Cross,Rosary beads,Bible,Prayer pose hands together,Worship service in church,,
faithful,Cross necklace,Bible,Prayer hands,Church building,Faithful person praying,,
fame,red carpet,golden statue,paparazzi camera flash,applause hands,celebrity magazine cover,,
fancy,Champagne flutes,Expensive dress,Limousine,Fine dining restaurant interior,Luxury watch,,
fashion,Runway,Designer clothes,Shopping mall,Fashion model,High heels shoes,,
fast,Racecar,Roadrunner cartoon character,Speedometer gauge needle pointing high,Jet engine exhaust,lightning,,
fatherland,Flag,national monument,coat of arms,national anthem,traditional costume,,
